factor,periods,rank_ic,ic_ir,win,s_i,direction,turnover,net_excess,gross_excess,sharpe,max_dd,max_pool_corr,corr_size,corr_h03,corr_t10,corr_e,corr_f
alpha191_039,120,0.024334730807835277,0.1696959582781291,0.475,0.001961515095341061,1,0.9683230987400261,-13.119926017239248,1.5211192357099446,-0.00840640000092695,49.49486725879135,0.07138643015368937,-0.011953032162840393,-0.03626978442406923,0.07138643015368937,-0.01274489765591247,-0.027879622177413042
alpha191_037,120,0.021787690071059622,0.15698458606875232,0.5083333333333333,0.001738668516159776,1,0.9048521030490178,-21.416538663793855,-7.735174865692707,-0.25442959150615924,61.53973289963558,0.02058738025502877,0.009457370276401322,-0.0026463038145107206,0.01617342849484304,0.02058738025502877,0.013103979255483063
alpha191_001,120,0.024527468020007683,0.17294757107284048,0.4,0.0016967864074508403,1,0.8903187987767772,-11.204574779449263,2.2570454580556065,0.017810716850925223,38.75631478175515,0.07253481983079843,-0.03690924065302436,-0.005873563192828788,0.07253481983079843,-0.01205107332925639,-0.0002860516709523424
alpha191_137,120,-0.02394956527728185,-0.15345015716386567,0.4583333333333333,0.001684404588077365,0,0.7949473147624311,-31.76065280558079,-19.741049406372834,-0.7122084927356791,72.21863076054743,0.02772945644907613,0.011093633992686943,0.022380377077964534,-0.05146130570704353,0.01900162132543492,0.02772945644907613
alpha191_165,120,-0.024450264462079704,-0.14146364903952255,0.475,0.0016429412246238978,0,0.23172957367784652,-14.019262842134317,-10.51551168812528,0.018673932899867275,59.74041939216652,-0.05813406003073962,-0.11534844425663622,-0.06860067064292312,-0.05813406003073962,-0.2523539308783776,-0.22825485774692775
alpha191_009,120,-0.05374739899703489,-0.14366454784995009,0.20833333333333334,0.0016086657864624746,0,0.7088554338030248,-27.164758548278844,-16.446864389177108,-0.5134384578172858,74.72821939014402,0.02124117464454698,-0.022452395262898283,0.011685990540935092,-0.1339035177659077,-0.002520323712809643,0.02124117464454698
alpha191_152,120,-0.026776999186867125,-0.13083685771041864,0.44166666666666665,0.0015473431410314906,0,0.709510556338044,-21.545393179425155,-10.817593567593931,-0.28182373803846344,62.40251606401615,0.04109679893088396,-0.005609233432133681,0.04109679893088396,-0.15345947593544537,-0.006129817399500485,0.032079196307111986
alpha191_022,120,-0.02039507123308375,-0.22290629039289317,0.3333333333333333,0.0015153965569551693,0,0.6244545136534886,-20.989924884460866,-11.548172638020116,-0.2929026830725733,59.27368386476785,0.09638238574614928,-0.03609736865606064,0.09638238574614928,-0.02204931539502262,-0.03226482536447573,0.009880296225095992
alpha191_025,120,0.028734143975870086,0.11465479836792007,0.4583333333333333,0.0015099825967545778,1,0.9177809973472961,-15.641139031402718,-1.7642903515115993,-0.10701144028740518,57.05317982580258,0.09301503454213358,-0.023241122173853913,-0.052706478407352604,0.09301503454213358,0.008904597896343614,-0.02479234180855674
alpha191_182,120,0.020103711551050264,0.14039397039520785,0.5166666666666667,0.0014582606069048403,1,0.6297407362912758,-2.9851846950169723,6.536495237707118,0.3193973600776649,32.540261165739956,0.11430193551677605,0.09072172899672155,0.04054058818758423,0.11430193551677605,-0.012937441992469543,-0.04293358702328837
alpha191_180,120,0.011040604030948227,0.265539986951634,0.49166666666666664,0.0014414299097387736,1,0.8945212210832232,-10.904981777274553,2.620179085503782,0.039949361203032836,44.21201318179908,0.32239135525035123,0.16711865919928615,0.32239135525035123,0.20296912598732728,0.07518966921871417,0.15305356303456338
alpha191_093,120,-0.036709070854184636,-0.08596431623499204,0.45,0.001420051579020836,0,0.2487907466195721,-12.195776368499885,-8.434060279611955,0.06891519619746717,57.76779289332802,-0.0844261562267539,-0.1290642844536324,-0.0844261562267539,-0.2778414035170258,-0.42516371076939047,-0.40112738943203324
alpha191_044,120,-0.014842363910478558,-0.21531710264934584,0.4083333333333333,0.0013049577074158453,0,0.8694186499219136,-21.452678409119912,-8.307068422300578,-0.3835787696226959,57.951658782906094,-0.01325523049275175,-0.02493101358762421,-0.017288036958041642,-0.03343763787565351,-0.017416652153385077,-0.01325523049275175
alpha191_144,120,-0.03934250707605457,-0.06270793495314825,0.5166666666666667,0.0012746618102198193,0,0.4846376029546164,-18.93785035565726,-11.61012979898346,-0.11965464055467986,52.96303041423505,0.2677149305936526,0.2677149305936526,0.10669894477481102,-0.15293244304763437,-0.048010709410678545,-0.10430836777779721
alpha191_101,120,0.016684257729197453,0.15149856704615108,0.38333333333333336,0.000968929102977466,1,0.7183467319938618,-7.7668007833641335,3.094601804383057,0.15350891720297816,39.13485707134725,0.09665031675544832,-0.0282128786184589,0.03686631849533429,0.09665031675544832,-0.02557908846976408,0.003088822816663331
alpha191_183,120,-0.015015715077810486,-0.1318540476932528,0.475,0.0009404443357085114,0,0.4430315480236704,-16.424309606394633,-9.725672600276736,-0.06789069920532163,57.96908515474628,0.03230448732670407,-0.08371088859627147,-0.0880883534996821,0.03230448732670407,-0.18966763675605539,-0.1873889208163653
alpha191_015,120,0.018111051409328796,0.11322244355677942,0.38333333333333336,0.0007860547067795531,1,0.8703589750763122,-19.427613449869245,-6.267785746715404,-0.21017184546444076,52.09074105687333,0.10437045721337937,0.039330703174472834,0.08764434741357241,0.10437045721337937,0.06316214715442858,0.08432414797727791
alpha191_061,120,-0.019454505760456122,-0.07472857284114745,0.5333333333333333,0.0007753639737646763,0,0.8857373238738682,-19.49140495130423,-6.099056614331344,-0.25045577810965974,52.09901046475406,-0.06050907910658681,-0.08625785569652274,-0.06050907910658681,-0.09403066153821112,-0.0886218529393705,-0.071310130532046
alpha191_138,4,0.014391567320228454,0.09030862112648827,0.5,0.0006498413002694308,1,1.0,-26.68385398521478,-11.563853985214777,-2.306330375902944,5.713239213824273,0.049680397823112135,0.02825616213014729,0.018066255090276283,0.049680397823112135,0.006690398577566937,0.01607435404492642
alpha191_117,120,0.015877564493770722,0.11414237751545527,0.35,0.0006343060361658882,1,0.8860121147300426,-11.91852944869235,1.477973726025894,-0.002669807615464072,45.93845370133748,0.043217552328433224,-0.003251879040059416,0.009150957624440851,0.043217552328433224,0.0031770012922065754,0.013475881670576003
