selection,size,na,net_5y,turn_5y,sharpe_5y,dd_5y,nc_5y,comb_5y,win_rate_5y,net_1y,turn_1y,sharpe_1y,dd_1y,nc_1y,comb_1y,net_3m,turn_3m,sharpe_3m,dd_3m,nc_3m,comb_3m,comb_mean,comb_min,objective
size_only+impact60+book_to_market_lf_minus_size+impact_abs_return60+t10_size_plus_impact_downside,5,0.21436800485750002,25.593387666491918,13.427502683050196,1.1509437544289296,29.404005195576698,1.0,0.4928736009715,0.7666666666666667,9.953683907095765,13.049016667343572,0.6843621333450816,20.057335844277002,0.2873542055168141,0.17218299345406637,56.582053804239315,11.213065767193871,1.0290905465145719,2.757776849800153,1.0,0.4928736009715,0.38597673179902214,0.17218299345406637,0.4126433984656888
size_only+impact60+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60,5,0.21158369745,25.099890870085044,13.213798282943701,1.151554720634025,27.883250361006763,1.0,0.49231673949,0.7833333333333333,9.65387067710509,12.920765715315802,0.6802019127992136,19.981616445595673,0.2773361329790126,0.16711799933055568,53.82520135546637,11.94869537393693,0.9876753985898361,2.627435067866246,1.0,0.49231673949,0.38391715943685184,0.16711799933055568,0.41225049277018516
size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60,6,0.25393633120833337,25.318790530307595,17.172187550944795,1.1565254932315652,27.14117021126571,0.9581826298480155,0.48196944967327365,0.7833333333333333,9.838937983180926,16.48215031417879,0.6861738253269727,19.456697183904247,0.2616438539328092,0.16852700051143082,54.04054208021554,13.1856063731421,0.9961299370599651,2.485389228063639,1.0,0.5007872662416667,0.3837612388087904,0.16852700051143082,0.4120945721421237
size_only+impact60+book_to_market_lf_plus_impact+impact_abs_return60+t10_size_plus_impact_downside,5,0.2105702681975,25.049138302259333,13.292164753496202,1.1506426797889944,27.872522729959858,1.0,0.4921140536395,0.7833333333333333,9.629219611553886,12.94892060257615,0.6791574408704174,19.955879652161524,0.27631539494467244,0.1664559813646026,53.944908356702115,12.076341127867178,0.988171597439777,2.6813777097451696,1.0,0.4921140536395,0.3835613628812009,0.1664559813646026,0.41189469621453423
size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+impact_abs_return60+t10_size_plus_impact_downside,7,0.24714140406964283,24.581821425349926,16.088435651590288,1.1439088088798597,27.25468480959743,0.9801424179473691,0.49049236889024467,0.7666666666666667,9.158400056203627,15.258180514452539,0.6703825185580908,19.38784397860257,0.25730573005442536,0.16521585933841998,55.91099886172053,13.10281305522231,1.0413734846144571,2.3720761607575302,1.0,0.4994282808139286,0.3850455030141977,0.16521585933841998,0.4117121696808644
size_only+impact60+t10_size_plus_impact_bm+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60,7,0.24786528210714287,24.521808831986945,16.018894944226915,1.1411790747029762,27.3866466016186,0.9773455068310359,0.48937853449539476,0.7833333333333333,8.929682303452024,15.23864465450242,0.6608703535535628,19.476604037400904,0.24729344602247738,0.16085510713154338,56.145918770210926,13.231111259112902,1.0423746895842634,2.40710497367429,1.0,0.4995730564214286,0.3832688993494555,0.16085510713154338,0.41160223268278884
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact+impact_abs_return60+t10_size_plus_impact_downside,6,0.2520701790479167,26.39814173221072,17.937389292148158,1.1613866034720928,28.22734121471123,0.941867389616858,0.47425436113716946,0.7833333333333333,10.689465335854653,17.14660780637724,0.7027158347399052,20.09762395653445,0.2770255996423389,0.17507555564863586,58.285549162196325,14.3027146868147,1.0518711841766095,2.536329364077483,1.0,0.5004140358095833,0.3832479841984629,0.17507555564863586,0.4115813175317962
size_only+impact60+book_to_market_lf_plus_impact+reversal_chip_turn_paper+impact_abs_return60,5,0.21665939257250003,24.98224243985018,16.053727469574376,1.1552775124006227,26.860528548188523,1.0,0.4933318785145,0.7833333333333333,9.407994211580622,15.433399429666364,0.6801232180977121,19.336061359053435,0.2653288703316449,0.16272987016374021,56.213468235180386,13.252651259154552,1.0434329458485259,2.3480724377024975,1.0,0.4933318785145,0.38313120906424675,0.16272987016374021,0.41146454239758007
size_only+impact60+book_to_market_lf_minus_size+t10_size_plus_impact_fscore+t10_size_plus_impact_aggregate+impact_abs_return60,6,0.25903541314999995,26.124663379221463,18.09383097198509,1.1644936891991282,27.838929539476954,0.9330534079175334,0.47168111619289005,0.7833333333333333,10.625937656397568,17.34976637861707,0.7095532086341255,19.897759405712122,0.2756712490777325,0.17585914471497963,61.42043480224522,14.304702289370441,1.091150567838907,2.402711772089383,1.0,0.50180708263,0.38311578117928985,0.17585914471497963,0.41144911451262317
size_only+impact60+book_to_market_lf_minus_size+book_to_market_lf_plus_impact+t10_size_plus_impact_aggregate+impact_abs_return60,6,0.21155957912499995,24.836003632173973,12.537078211981589,1.1506814713153655,28.187595620845485,1.0,0.492311915825,0.7666666666666667,9.578783521695334,11.94732442867002,0.6876917963261763,19.02226628720388,0.2824220872325693,0.16940185507965616,56.968850443431904,10.703291646441732,1.0625900331778158,2.583787615277655,1.0,0.492311915825,0.38467522890988537,0.16940185507965616,0.41134189557655204
