field,direction,periods,rank_ic,ic_ir,win,s_i,turnover,gross,net,efficiency,finite_share
ema120,0,120,-0.03724254327614677,-0.1427260101237313,0.48333333333333334,0.0025691484775213318,0.02208951248546972,-0.11102448597170866,-0.11436442025951168,0.11630625525173063,0.8803938832252086
ema20,0,120,-0.045548020746827844,-0.15929648235554875,0.5166666666666667,0.0037487470663340695,0.04130913788317021,-0.12872726814097157,-0.13497320978890692,0.09074861540166272,0.9036731541550819
ema250,0,120,-0.032725354469440776,-0.13461990560669534,0.4583333333333333,0.0020191802260766415,0.01776360017407518,-0.098002340592797,-0.10068819693911717,0.10095901130383207,0.8484321902996602
ema3,0,120,-0.04985053486683806,-0.17611775821946857,0.525,0.004609271334564211,0.061208651139196255,-0.13935883057196263,-0.1486135786242091,0.07530424619360002,0.9074111831943157
ema30,0,120,-0.04395027261159544,-0.15433008178743005,0.5083333333333333,0.003447948326419747,0.035939210901177965,-0.12371122832695147,-0.12914523701520958,0.09593834255016252,0.9014241581711462
ema5,0,120,-0.04917868180319944,-0.17338809168766553,0.525,0.004476673839525129,0.057722616863921515,-0.13930481737798972,-0.14803247704781466,0.07755493570360275,0.9069725054062404
ema55,0,120,-0.041344724602385356,-0.14739517060947604,0.49166666666666664,0.0029962229288137752,0.02885149385357944,-0.11768921269795574,-0.12205155856861695,0.103849836823685,0.8956688291628051
ema60,0,120,-0.04080561373981122,-0.14609351670048507,0.49166666666666664,0.002931039176082237,0.027585787288069458,-0.11607740355166596,-0.12024837458962206,0.10625178630844727,0.8945335186901453
equity_parent_company,1,120,-0.013160770061322102,0.02190592870813006,0.3416666666666667,9.850212099169994e-05,0.005562749068790096,-0.05715443272657161,-0.05799552038577267,0.004925106049584997,0.9753151065801667
ev_lf,1,120,-0.009672967082067874,0.05015720707578064,0.31666666666666665,0.00015363685410795455,0.007503073621972399,-0.0617907876748216,-0.06292525240646382,0.007681842705397728,0.8523463083101637
ev_lyr,1,120,-0.00954037480385166,0.048693715721065865,0.325,0.00015098079703563098,0.006696634120950382,-0.06078439810723446,-0.06179692918632216,0.007549039851781549,0.8520358356502934
ev_no_cash_lf,0,120,-0.0068794231094373775,-0.03534254584602179,0.275,6.686248982585488e-05,0.008467919133075546,-0.07000347143330155,-0.07128382080622257,0.003343124491292744,0.8446184738955824
ev_no_cash_lyr,0,120,-0.006957166413164507,-0.039009417295205205,0.2833333333333333,7.689525221094075e-05,0.007315271649986367,-0.06750351004318711,-0.06860957911666504,0.0038447626105470372,0.8444207599629286
ev_no_cash_to_ebit_lyr,1,120,0.002226707533959323,0.06317132844523547,0.06666666666666667,9.377604865281648e-06,0.030012892608539773,-0.004959261442629259,-0.009497210805040474,0.0003124525512283802,0.8442292245906704
ev_no_cash_to_ebit_ttm,0,120,0.0032619080603757036,-0.07412351883922379,0.10833333333333334,2.6193277886216392e-05,0.05789545727266412,0.005962774583503583,-0.002791018556123232,0.0004524237154368896,0.8328498609823912
ev_no_cash_ttm,0,120,-0.0068794231094373775,-0.03534254584602179,0.275,6.686248982585488e-05,0.008467919133075546,-0.07000347143330155,-0.07128382080622257,0.003343124491292744,0.8446184738955824
ev_to_ebitda_lyr,1,120,0.007345740828694157,0.039262903849643926,0.058333333333333334,1.6824215091916307e-05,0.026259236281939366,0.009454747470994063,0.005484350945164831,0.0006406970450807704,0.8518443002780353
ev_ttm,1,120,-0.009672967082067874,0.05015720707578064,0.31666666666666665,0.00015363685410795455,0.007503073621972399,-0.0617907876748216,-0.06292525240646382,0.007681842705397728,0.8523463083101637
fin_current_ratio_lf,1,120,0.00020347153045300765,0.013647357343809327,0.38333333333333336,1.0644586627305247e-06,0.02681711065425326,-0.008241676525974073,-0.012296423656897166,3.9693264365961774e-05,0.9771640407784986
fin_current_ratio_lyr,1,120,0.0018091414969142,0.01718246795354648,0.4083333333333333,1.2693252282615067e-05,0.01875783196822781,-0.001050463366505383,-0.003886647560101428,0.0006346626141307533,0.9717346308310165
fin_current_ratio_ttm,1,120,0.00020347153045300765,0.013647357343809327,0.38333333333333336,1.0644586627305247e-06,0.02681711065425326,-0.008241676525974073,-0.012296423656897166,3.9693264365961774e-05,0.9771640407784986
fin_debt_to_asset_lf,0,120,-0.0019642669738160717,-0.07740403521797286,0.425,6.461793075797308e-05,0.012298468608769968,-0.054061705862572085,-0.0559212343162181,0.0032308965378986536,0.9847296879826999
fin_debt_to_asset_lyr,0,120,-0.00335599784803256,-0.10841429685089117,0.39166666666666666,0.00014250327421329195,0.010473922747366868,-0.0565619195115481,-0.05814557663094997,0.007125163710664598,0.9809159715786222
fin_debt_to_asset_ttm,0,120,-0.0019642669738160717,-0.07740403521797286,0.425,6.461793075797308e-05,0.012298468608769968,-0.054061705862572085,-0.0559212343162181,0.0032308965378986536,0.9847296879826999
