components,factor_count,recent_period_label,recent_periods,recent_first_signal_date,recent_last_signal_date,recent_mean_stock_count,recent_rank_ic,recent_ic_mean,recent_gross_excess_pct,recent_turnover_pct,recent_annual_cost_pct,recent_net_excess_pct,recent_sharpe_after_cost,recent_max_drawdown_pct,recent_monthly_win_rate_pct,recent_min_member_addition_pp,recent_vs_best_single_pp
SIZE+H03+CHIP250+C01+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.663513885602564,27.68339521752229,4.18572935688937,2.477784528713193,-0.3304926487053123,22.01028727607344,50.0,-4.029198251931616,-13.79836690907984
SIZE+H03+CHIP250+ASSET_GROWTH+C02+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.423307833003528,24.954369417870296,3.773100655981989,1.6502071770215383,-0.3640800379682378,21.7966881809482,50.0,-6.941709478222595,-14.625944260771494
SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C01+C02,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,2.7915380893763886,26.54774292568265,4.014018730363216,-1.2224806409868276,-0.4830902372400301,22.505001214783825,50.0,-3.878820293440716,-17.49863207877986
SIZE+H03+RET40+DD120+CHIP250+ASSET_GROWTH,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.172645054515018,29.85108964361858,4.513484754115129,3.65916030039989,-0.2832761120520207,21.38509094601721,50.0,-3.927517024513447,-12.616991137393144
SIZE+H03+DD120+ASSET_GROWTH+C01+C02,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.613048046361918,26.16870630891554,3.9567083939080296,2.6563396524538883,-0.3265348765802609,20.9550690556365,62.5,-4.130099885588492,-13.619811785339143
SIZE+H03+RET40+CHIP250+ASSET_GROWTH+C02,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.263166187956017,29.77342380566984,4.50174167941728,3.7614245085387377,-0.2768387572992631,21.82782066833966,50.0,-4.1816809301505735,-12.514726929254294
SIZE+H03+DD120+CHIP250+DD60+ASSET_GROWTH,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.056396243281984,27.827948317707147,4.20758578563732,0.8488104576446637,-0.3935734930333399,21.721456229132546,50.0,-4.595095248656476,-15.427340980148369
SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C02+C03,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.211239119533488,27.056220230400225,4.090900498836514,-0.8796613793030261,-0.4726181323967631,22.098896377136136,50.0,-2.5298685563245646,-17.15581281709606
SIZE+H03+CHIP250+DD60+ASSET_GROWTH+C02,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,4.448615433046323,27.54097955978129,4.164196109438931,0.2844193236073912,-0.4137538196191977,22.18486351163965,50.0,-5.240253275434946,-15.99173211418564
SIZE+H03+RET40+CHIP250+ASSET_GROWTH+C01,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.263755552033215,29.04126574447192,4.3910393805641545,3.8727161714690608,-0.2717100544086002,21.880586042527405,50.0,-5.226901354005553,-12.40343526632397
SIZE+H03+DD120+CHIP250+C01,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.811120587877905,27.043019131462483,4.088904492677127,1.7222160952007786,-0.364557113123677,21.87441058126639,50.0,-5.344982244881906,-14.553935342592254
SIZE+H03+DD120+CHIP250+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.117202542666375,27.578280257175862,4.169835974884991,1.947366567781384,-0.3559276969508101,21.37992314299384,62.5,-5.1348425100770445,-14.32878487001165
SIZE+H03+RET40+ASSET_GROWTH+C01,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,13.618949935854822,29.889764618916725,4.519332410380208,9.099617525474612,-0.0711261446943228,19.59018995462458,62.5,-4.094430861606751,-7.176533912318419
SIZE+H03+DD120+C01+C03,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.762529422262123,30.385889915572545,4.594346555234569,4.1681828670275545,-0.2635146975036158,20.542411830557896,62.5,-3.96312858582598,-12.10796857076548
SIZE+H03+DD120+ASSET_GROWTH+C02+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.218415226163193,26.494357343869567,4.005946830393079,1.2124683957701152,-0.3756891725319692,21.132480420645397,62.5,-7.379448259474019,-15.063683042022918
SIZE+H03+DD120+C01+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,8.180827427167605,29.6806183979488,4.487709501769858,3.6931179253977473,-0.2830761057795311,21.075064543093568,62.5,-3.374080414684937,-12.583033512395286
SIZE+H03+DD120+CHIP250+ASSET_GROWTH+C01+C03,7,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,3.812244371515888,26.782194366004784,4.049467788139924,-0.2372234166240355,-0.4425220016484835,21.997018029309345,50.0,-2.982616584092739,-16.51337485441707
SIZE+H03+DD120+ASSET_GROWTH+C01+C03,6,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,6.765225317512767,26.586191468545397,4.019832150044064,2.745393167468704,-0.3186522210489478,20.802245715876253,50.0,-6.430437756644382,-13.530758270324329
SIZE+H03+DD120+CHIP250+C02,5,recent,15,2026-01-09,2026-08-10,5100.733333333334,,,5.177405094238861,26.79506101438523,4.051413225375047,1.1259918688638146,-0.3889943244790236,21.77835159251762,62.5,-5.690086998265138,-15.15015956892922
